name,group,adaq_ns_per_elem,c_ns_per_elem,speedup,parity,c_missing
sma,Overlap Studies,1.4521,2.0677,1.424,4.235e-9,false
ema,Overlap Studies,2.4325,2.7649,1.137,0.000e0,false
wma,Overlap Studies,2.2517,2.4112,1.071,4.020e-8,false
dema,Overlap Studies,2.6833,5.3172,1.982,0.000e0,false
tema,Overlap Studies,3.5844,7.9426,2.216,0.000e0,false
midpoint,Overlap Studies,4.7849,2.8000,0.585,0.000e0,false
midprice,Overlap Studies,4.6979,9.0449,1.925,0.000e0,false
bbands,Overlap Studies,2.6090,5.9684,2.288,4.371e-8,false
accbands,Overlap Studies,4.8565,7.2969,1.503,2.225e-8,false
trima,Overlap Studies,2.5663,3.1413,1.224,4.710e-8,false
t3,Overlap Studies,2.7756,2.9297,1.056,3.638e-12,false
ma,Overlap Studies,1.9633,2.0961,1.068,5.166e-9,false
mavp,Overlap Studies,5.1241,4.5987,0.897,3.341e-9,false
kama,Overlap Studies,2.6036,2.4353,0.935,0.000e0,false
sar,Overlap Studies,2.5201,2.1766,0.864,0.000e0,false
sarext,Overlap Studies,2.5683,2.2574,0.879,0.000e0,false
mom,Momentum Indicators,0.1936,0.3684,1.903,0.000e0,false
roc,Momentum Indicators,0.7065,0.7074,1.001,2.956e-12,false
rocp,Momentum Indicators,0.6879,0.6740,0.980,0.000e0,false
rocr,Momentum Indicators,0.6920,0.7059,1.020,0.000e0,false
rocr100,Momentum Indicators,0.6668,0.6854,1.028,0.000e0,false
rsi,Momentum Indicators,5.9855,6.5205,1.089,0.000e0,false
macd,Momentum Indicators,3.5856,8.2707,2.307,0.000e0,false
macd_fix,Momentum Indicators,3.5165,8.5099,2.420,0.000e0,false
macd_ext,Momentum Indicators,3.5377,8.1215,2.296,0.000e0,false
apo,Momentum Indicators,5.8154,5.3580,0.921,0.000e0,false
ppo,Momentum Indicators,6.1253,5.9268,0.968,0.000e0,false
cmo,Momentum Indicators,6.6390,6.6960,1.009,0.000e0,false
cci,Momentum Indicators,8.5593,12.9975,1.519,1.473e-10,false
mfi,Momentum Indicators,2.6010,2.0354,0.783,0.000e0,false
willr,Momentum Indicators,5.0985,3.5330,0.693,0.000e0,false
bop,Momentum Indicators,0.7651,0.7444,0.973,0.000e0,false
ultosc,Momentum Indicators,5.2381,6.7689,1.292,4.675e-9,false
plus_dm,Momentum Indicators,6.2170,6.2424,1.004,0.000e0,false
minus_dm,Momentum Indicators,6.3822,6.3948,1.002,0.000e0,false
plus_di,Momentum Indicators,7.9254,6.9135,0.872,0.000e0,false
minus_di,Momentum Indicators,7.9108,7.5309,0.952,0.000e0,false
adx,Momentum Indicators,7.8037,6.9277,0.888,0.000e0,false
adxr,Momentum Indicators,7.5074,7.3107,0.974,0.000e0,false
aroon,Momentum Indicators,2.9550,3.1349,1.061,3.638e-12,false
aroon_osc,Momentum Indicators,3.2745,3.1670,0.967,0.000e0,false
stoch,Momentum Indicators,8.0861,7.6800,0.950,5.533e-9,false
stoch_f,Momentum Indicators,6.7604,6.1089,0.904,3.572e-9,false
stoch_rsi,Momentum Indicators,13.4925,12.3219,0.913,8.543e3,false
trix,Momentum Indicators,3.8025,9.1674,2.411,1.289e-12,false
dx,Momentum Indicators,8.0854,7.4042,0.916,1.023e-12,false
imi,Momentum Indicators,3.3057,16.1654,4.890,0.000e0,false
trange,Volatility Indicators,0.8223,0.7235,0.880,0.000e0,false
atr,Volatility Indicators,4.3639,6.7494,1.547,0.000e0,false
natr,Volatility Indicators,5.1126,6.7780,1.326,2.274e-13,false
ad,Volume Indicators,1.1279,1.4474,1.283,0.000e0,false
adosc,Volume Indicators,3.8014,2.9867,0.786,0.000e0,false
obv,Volume Indicators,1.0354,1.1042,1.066,0.000e0,false
avgprice,Price Transform,0.4391,0.7150,1.628,0.000e0,false
medprice,Price Transform,0.2136,0.3981,1.863,0.000e0,false
typprice,Price Transform,0.3378,0.5337,1.580,0.000e0,false
wclprice,Price Transform,0.3304,0.5346,1.618,0.000e0,false
avgdev,Price Transform,6.9281,11.5704,1.670,0.000e0,false
stddev,Statistic Functions,2.1299,2.9261,1.374,2.022e-7,false
var,Statistic Functions,1.6270,2.1309,1.310,1.158e-6,false
linear_reg,Statistic Functions,2.3704,6.8590,2.894,1.995e-7,false
linear_reg_angle,Statistic Functions,6.1847,18.2053,2.944,8.741e-7,false
linear_reg_intercept,Statistic Functions,2.2424,6.6302,2.957,1.995e-7,false
linear_reg_slope,Statistic Functions,2.2372,5.9994,2.682,3.071e-8,false
tsf,Statistic Functions,2.3341,6.7624,2.897,2.305e-7,false
beta,Statistic Functions,4.2109,3.8271,0.909,2.318e-10,false
correl,Statistic Functions,5.0253,3.2571,0.648,2.202e-9,false
add,Math Operators,0.2076,0.4135,1.992,0.000e0,false
sub,Math Operators,0.2218,0.3668,1.654,0.000e0,false
mult,Math Operators,0.2025,0.3773,1.863,0.000e0,false
div,Math Operators,0.2043,0.3889,1.904,0.000e0,false
max,Math Operators,2.6179,2.5974,0.992,0.000e0,false
min,Math Operators,2.5743,3.7560,1.459,0.000e0,false
sum,Math Operators,1.6452,2.0911,1.271,1.432e-7,false
max_index,Math Operators,2.4759,2.5817,1.043,0.000e0,false
min_index,Math Operators,2.4950,3.3799,1.355,0.000e0,false
minmax,Math Operators,4.9566,3.1559,0.637,4.911e-10,false
minmax_index,Math Operators,4.7534,3.1643,0.666,0.000e0,false
acos,Math Transform,2.2637,2.4164,1.067,NA,false
asin,Math Transform,2.8026,3.1127,1.111,NA,false
atan,Math Transform,4.3318,4.7482,1.096,0.000e0,false
ceil,Math Transform,0.3269,0.3714,1.136,0.000e0,false
cos,Math Transform,3.3890,3.3356,0.984,0.000e0,false
cosh,Math Transform,2.5511,2.6559,1.041,0.000e0,false
exp,Math Transform,2.5029,2.4720,0.988,0.000e0,false
floor,Math Transform,0.1454,0.3366,2.315,0.000e0,false
ln,Math Transform,2.9273,3.1353,1.071,0.000e0,false
log10,Math Transform,3.2738,3.1784,0.971,0.000e0,false
sin,Math Transform,3.4743,3.4034,0.980,0.000e0,false
sinh,Math Transform,2.6533,2.9098,1.097,0.000e0,false
sqrt,Math Transform,0.3440,0.6845,1.990,0.000e0,false
tan,Math Transform,6.0249,4.9571,0.823,0.000e0,false
tanh,Math Transform,1.4859,2.0333,1.368,0.000e0,false
mama,Overlap Studies,63.5940,56.2131,0.884,0.000e0,false
ht_trendline,Overlap Studies,62.9738,49.8668,0.792,1.354e-9,false
ht_dcperiod,Cycle Indicators,61.5631,52.1332,0.847,2.558e-13,false
ht_dcphase,Cycle Indicators,121.3027,152.1847,1.255,1.137e-11,false
ht_phasor,Cycle Indicators,68.3361,47.7946,0.699,2.132e-14,false
ht_sine,Cycle Indicators,119.3528,169.8256,1.423,3.828e-13,false
ht_trendmode,Cycle Indicators,204.5238,176.5622,0.863,0.000e0,false
cdl_doji,Pattern Recognition,1.1386,1.8030,1.583,0.000e0,false
cdl_marubozu,Pattern Recognition,1.2619,2.0192,1.600,0.000e0,false
cdl_hammer,Pattern Recognition,1.8614,3.2270,1.734,0.000e0,false
cdl_shootingstar,Pattern Recognition,1.4579,7.7828,5.338,0.000e0,false
cdl_engulfing,Pattern Recognition,2.1440,1.0558,0.492,0.000e0,false
cdl_harami,Pattern Recognition,3.4095,2.0893,0.613,0.000e0,false
cdl_highwave,Pattern Recognition,1.0654,1.7012,1.597,0.000e0,false
cdl_2crows,Pattern Recognition,1.0614,1.2021,1.133,0.000e0,false
cdl_3blackcrows,Pattern Recognition,1.6480,1.7563,1.066,0.000e0,false
cdl_3inside,Pattern Recognition,1.3159,5.0373,3.828,0.000e0,false
cdl_3linestrike,Pattern Recognition,2.5153,2.6888,1.069,0.000e0,false
cdl_3outside,Pattern Recognition,1.3845,1.3651,0.986,0.000e0,false
cdl_3starsinsouth,Pattern Recognition,2.8636,4.8734,1.702,0.000e0,false
cdl_3whitesoldiers,Pattern Recognition,3.6555,5.9563,1.629,0.000e0,false
cdl_abandonedbaby,Pattern Recognition,2.2561,2.9083,1.289,0.000e0,false
cdl_advanceblock,Pattern Recognition,5.7873,8.3613,1.445,0.000e0,false
cdl_belthold,Pattern Recognition,1.2479,2.0000,1.603,0.000e0,false
cdl_breakaway,Pattern Recognition,1.0304,2.2246,2.159,0.000e0,false
cdl_closingmarubozu,Pattern Recognition,1.2674,2.3681,1.868,0.000e0,false
cdl_concealbabyswall,Pattern Recognition,3.9412,3.3626,0.853,0.000e0,false
cdl_counterattack,Pattern Recognition,2.1898,2.6352,1.203,0.000e0,false
cdl_darkcloudcover,Pattern Recognition,1.4394,1.2441,0.864,0.000e0,false
